code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,이자비용,차입부채
6400,Samsung_SDI,전기·전자,2019,Q2,"3,471,336,368,406","11,472,558,547,343","14,943,894,915,749","2,347,423,663,288","1,752,626,825,289","4,100,050,488,577","5,703,999,873,433","10,843,844,427,172",1967121459775.0,88506967963.0,73375103398.0,80586064013.0,80586064013.0,"356,712,130,000",,,,,,,,,,
6650,Korea_Petrochemical_Ind,화학,2019,Q2,"475,513,577,352","1,487,249,946,199","1,962,763,523,551","172,786,061,577","135,065,592,477","307,851,654,054","1,353,267,924,042","1,654,911,869,497",401873003329.0,-16524997519.0,-14179413226.0,-12220606918.0,-12220606918.0,"41,000,000,000",,,,,,,,,,
7070,GS_Retail,유통,2019,Q2,"812,738,503,114","4,586,745,805,185","5,399,484,308,299","1,853,396,085,985","1,407,204,207,323","3,260,600,293,308","1,909,840,587,352","2,138,884,014,991",2213901700462.0,63687878022.0,63661359477.0,48129802674.0,48129802674.0,"77,000,000,000",,,,,,,,,,
7310,Ottogi,음식료·담배,2019,Q2,"589,749,483,716","1,089,837,800,351","1,679,587,284,067","396,005,630,258","156,529,182,869","552,534,813,127","1,097,853,599,451","1,127,052,470,940",513177751035.0,31580439285.0,31066203770.0,23131999824.0,23131999824.0,"18,026,185,000",,,,,,,,,,
7340,Dong-A_Tire,전기·전자,2019,Q2,"97,573,989,994","257,330,426,217","354,904,416,211","17,693,845,085","6,404,727,318","24,098,572,403","599,747,463,314","330,805,843,808",37938113300.0,4537026192.0,4634495642.0,1877559284.0,1877559284.0,"4,997,002,500",,,,,,,,,,
7570,Ilyang_Pharmaceutical,제약,2019,Q2,"118,685,271,877","260,295,387,893","378,980,659,770","161,675,544,280","38,156,876,386","199,832,420,666","2,946,818,128","179,148,239,104",44600480268.0,2034726844.0,575706299.0,-1276362209.0,-1276362209.0,"48,826,860,000",,,,,,,,,,
7690,Kukdo_Chemical,화학,2019,Q2,"369,620,114,066","391,781,484,786","761,401,598,852","228,742,423,846","75,852,376,405","304,594,800,251","392,256,862,308","456,806,798,601",233639345767.0,15843352373.0,15887011619.0,12154592942.0,12154592942.0,"29,053,080,000",,,,,,,,,,
7860,Seoyon,기타금융,2019,Q2,"5,214,161,173","350,201,659,491","355,415,820,664","6,570,612,314","5,556,596,463","12,127,208,777","597,290,427,197","343,288,611,887",2874200123.0,-1116279586.0,-1276260280.0,-1272468551.0,-1272468551.0,"11,739,922,000",,,,,,,,,,
8060,Daeduck_Electronics,기타금융,2019,Q2,"541,071,646,102","627,445,241,113","1,168,516,887,215","157,560,981,371","14,531,448,746","172,092,430,117","35,697,459,993","996,424,457,098",277309834098.0,23704195605.0,27774262952.0,21510342605.0,21510342605.0,"40,657,424,000",,,,,,,,,,
8490,Seohung,화학,2019,Q2,"194,684,498,902","278,081,332,533","472,765,831,435","100,766,161,380","135,452,593,164","236,218,754,544","206,847,577,795","236,547,076,891",79787723330.0,7733450803.0,9440511695.0,8720311941.0,8720311941.0,"6,084,556,500",,,,,,,,,,
8770,Hotel_Shilla,유통,2019,Q2,"1,285,440,024,500","2,034,421,534,228","3,319,861,558,728","1,361,145,041,049","1,014,469,904,121","2,375,614,945,170","652,165,092,951","944,246,613,558",1070513068907.0,74847358844.0,63702419022.0,,,"200,000,000,000",,,,,,,,,,
9150,Samsung_Electro-Mechanics,전기·전자,2019,Q2,"2,305,936,840,058","3,011,092,240,627","5,317,029,080,685","908,465,327,841","124,994,673,625","1,033,460,001,466","377,126,678,123","4,283,569,079,219",1244940666114.0,121860300407.0,173438342389.0,367401001483.0,367401001483.0,"388,003,400,000",,,,,,,,,,
9240,Hanssem,유통,2019,Q2,"416,311,152,137","593,056,451,043","1,009,367,603,180","364,122,219,642","77,770,247,083","441,892,466,725","660,772,558,857","567,475,136,455",395257899845.0,12721896245.0,15545805912.0,9774310458.0,9774310458.0,"23,533,928,000",,,,,,,,,,
9290,Kwang_Dong_Pharmaceutical,제약,2019,Q2,"346,764,954,713","282,203,690,530","628,968,645,243","176,030,610,431","39,821,069,939","215,851,680,370","357,742,174,169","413,116,964,873",196766443344.0,13683211242.0,10245658325.0,7229153926.0,7229153926.0,"52,420,851,000",,,,,,,,,,
9540,Hyundai_Heavy_Industries,기타금융,2019,Q2,"1,410,299,651,000","9,898,050,201,000","11,308,349,852,000","351,222,098,000","62,428,218,000","413,650,316,000","16,534,184,381,000","10,894,699,536,000",1433614330000.0,35542588000.0,64088706000.0,-51672147000.0,-51672147000.0,"353,865,580,000",,,,,,,,,,
9580,Moorim_P&P,종이·목재,2019,Q2,"303,849,776,664","866,038,105,762","1,169,887,882,426","292,358,434,008","252,633,616,365","544,992,050,373","351,149,495,156","624,895,832,053",154288473539.0,19947261188.0,16589900613.0,12597305092.0,12597305092.0,,,,,,,,,,,
9680,Motonic,운송장비·부품,2019,Q2,"322,956,809,706","112,700,394,065","435,657,203,771","21,217,084,503","9,426,082,219","30,643,166,722","356,478,082,173","405,014,037,049",55251205057.0,1513303971.0,6253301715.0,5150583974.0,5150583974.0,"16,500,000,000",,,,,,,,,,
9830,Hanwha_Solutions,화학,2019,Q2,"1,079,800,469,840","6,837,714,827,303","7,917,515,297,143","1,435,195,603,511","1,272,772,981,300","2,707,968,584,811","3,671,072,527,289","5,209,546,712,332",884417399435.0,39933432166.0,38787925750.0,34171013435.0,34171013435.0,"821,170,655,000",,,,,,,,,,
10060,OCI,기타금융,2019,Q2,"1,230,990,354,000","3,364,979,376,000","4,595,969,730,000","506,147,884,000","801,624,757,000","1,307,772,641,000","2,338,310,793,000","3,288,197,089,000",447179252000.0,-3663871000.0,-12077360000.0,-8812838000.0,-8812838000.0,"127,246,855,000",,,,,,,,,,
10120,LS_Electric,전기·전자,2019,Q2,"1,168,519,228,625","1,035,596,979,000","2,204,116,207,625","644,569,439,957","327,408,333,020","971,977,772,977","1,115,293,819,211","1,232,138,434,648",432251188038.0,36314403634.0,31593860844.0,21477462260.0,21477462260.0,"150,000,000,000",,,,,,,,,,
10130,Korea_Zinc,금속,2019,Q2,"3,605,711,650,798","3,172,822,428,730","6,778,534,079,528","575,760,666,655","111,786,740,606","687,547,407,261","5,977,598,736,729","6,090,986,672,267",1372409803663.0,229736307148.0,241929954822.0,175676761216.0,175676761216.0,"94,350,000,000",,,,,,,,,,
10140,Samsung_Heavy Industries,운송장비·부품,2019,Q2,"7,242,773,513,648","6,794,532,253,800","14,037,305,767,448","6,399,634,634,211","1,504,894,711,890","7,904,529,346,101","2,203,721,820,322","6,132,776,421,347",1730672026343.0,-29901405080.0,-292229114408.0,-292645457830.0,-292645457830.0,"3,150,574,225,000",,,,,,,,,,
10620,Hyundai_Mipo_Dockyard,운송장비·부품,2019,Q2,"1,881,496,662,000","1,515,228,417,000","3,396,725,079,000","1,037,169,549,000","52,296,849,000","1,089,466,398,000","1,802,199,012,000","2,307,258,681,000",838944970000.0,26969421000.0,21441312000.0,15904885000.0,15904885000.0,"199,710,745,000",,,,,,,,,,
10690,Hwashin,운송장비·부품,2019,Q2,"384,918,058,816","251,840,690,752","636,758,749,568","247,624,028,425","48,631,699,134","296,255,727,559","339,866,430,327","340,503,022,009",162689632223.0,-959211852.0,-287555481.0,1396563273.0,1396563273.0,"17,460,205,000",,,,,,,,,,
10780,IS_Dongseo,비금속,2019,Q2,"1,269,569,230,338","928,902,134,523","2,198,471,364,861","617,082,366,904","531,500,112,515","1,148,582,479,419","627,105,831,118","1,049,888,885,442",180066800483.0,6696518842.0,23753500751.0,17325390425.0,17325390425.0,"15,446,303,000",,,,,,,,,,
10950,S-Oil,화학,2019,Q2,"6,840,546,000,000","10,428,721,000,000","17,269,267,000,000","6,607,281,000,000","4,256,746,000,000","10,864,027,000,000","4,763,575,000,000","6,405,240,000,000",6257197000000.0,-90543000000.0,-198239000000.0,-149207000000.0,-149207000000.0,"291,512,000,000",,,,,,,,,,
11070,LG_Innotek,전기·전자,2019,Q2,"1,813,861,706,448","3,040,120,995,051","4,853,982,701,499","1,818,210,129,481","1,196,630,439,489","3,014,840,568,970","570,655,123,015","1,839,142,132,529",1471269429153.0,-13018949515.0,-29500003486.0,-21962466548.0,-21962466548.0,"118,335,535,000",,,,,,,,,,
11170,Lotte_Chemical,화학,2019,Q2,"4,850,768,256,493","10,674,495,868,181","15,525,264,124,674","2,485,771,673,742","1,487,427,437,403","3,973,199,111,145","10,435,336,211,584","11,552,065,013,529",2475664168964.0,254026113828.0,311818593936.0,225089582280.0,225089582280.0,"171,377,095,000",,,,,,,,,,
11200,Hyundai_Merchant_Marine,운송·창고,2019,Q2,"1,063,156,000,000","5,061,275,000,000","6,124,431,000,000","1,836,898,000,000","3,401,672,000,000","5,238,570,000,000","-4,137,893,000,000","885,861,000,000",1348491000000.0,-125610000000.0,-207636000000.0,-205167000000.0,-205167000000.0,"1,592,050,000,000",,,,,,,,,,
11210,Hyundai_WIA,운송장비·부품,2019,Q2,"3,091,245,000,000","2,825,593,000,000","5,916,838,000,000","1,634,547,000,000","1,288,316,000,000","2,922,863,000,000","2,406,614,000,000","2,993,975,000,000",1672240000000.0,17867000000.0,4855000000.0,3429000000.0,3429000000.0,"135,975,000,000",,,,,,,,,,
11780,Kumho_Petrochemical,화학,2019,Q2,"1,033,875,085,645","2,287,130,372,654","3,321,005,458,299","1,224,682,619,762","400,443,238,049","1,625,125,857,811","1,324,342,804,317","1,695,879,600,488",957748734564.0,100333621129.0,99071342825.0,76490399751.0,76490399751.0,"167,455,885,000",,,,,,,,,,
11790,SKC,화학,2019,Q2,"462,424,406,293","2,470,711,797,808","2,933,136,204,101","514,307,653,186","865,249,789,453","1,379,557,442,639","1,267,575,072,466","1,553,578,761,462",335015179413.0,31137530291.0,15089441660.0,11179373943.0,11179373943.0,"187,672,775,000",,,,,,,,,,
12330,Hyundai_Mobis,운송장비·부품,2019,Q2,"14,504,056,000,000","14,060,744,000,000","28,564,800,000,000","5,025,736,000,000","413,417,000,000","5,439,153,000,000","21,390,101,000,000","23,125,647,000,000",5756024000000.0,442483000000.0,677039000000.0,520902000000.0,520902000000.0,"491,096,000,000",,,,,,,,,,
12450,Hanwha_Aerospace,운송장비·부품,2019,Q2,"1,377,419,699,623","2,650,629,431,915","4,028,049,131,538","984,888,290,713","1,079,063,915,935","2,063,952,206,648","1,342,799,118,553","1,964,096,924,890",314409890396.0,-8992262545.0,-11575301973.0,-8733279960.0,-8733279960.0,"265,650,000,000",,,,,,,,,,
12630,Hyundai_Development_Company,기타금융,2019,Q2,"131,271,450,277","1,812,458,168,874","1,943,729,619,151","16,434,640,502","30,369,600,584","46,804,241,086","3,050,838,625,975","1,896,925,378,065",10987127497.0,3953852086.0,7880458026.0,5238372960.0,5238372960.0,"298,708,605,000",,,,,,,,,,
12750,S-1_Corporation,일반서비스,2019,Q2,"604,006,334,940","1,053,878,956,695","1,657,885,291,635","278,095,509,859","131,953,602,027","410,049,111,886","1,187,646,215,986","1,247,836,179,749",535774196296.0,53843118216.0,51670428427.0,40392492645.0,40392492645.0,"18,999,589,000",,,,,,,,,,
