,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,매출액변화율,영업이익변화율,비유동자산변화율,Relative Return,주주 수변화율,전체 주식 수변화율,전체 주주 수변화율,1인평균급여변화율,Label,Code
28,IS_Dongseo,Technology,2017,Q3,-0.0633533976823204,-0.10952294527167461,0.053138811542937536,-0.0129387812781534,-0.013313247109586035,-0.14360079656482488,0.009579407265335016,0.016222605908056575,0.005814604372242793,-0.000793985419321519,-0.2646237269624573,010780
28,S-Oil,Energy_&_Utilities,2017,Q3,-0.04176525122044361,-0.05691745289358385,-0.11722286137865301,-3.717789318393069,-0.09616871508094227,-0.16884235686543325,-0.04286818426996475,-0.02769322633975646,-0.02769322633975624,-0.04695079970608651,0.32301453403141367,010950
28,LG_Innotek,Technology,2017,Q3,-0.022694658174722937,-0.09867632618206534,-0.36915799094531687,-1.0298837864737438,-0.15551657765891003,0.0711152103198567,-0.3985165976559426,-1.1463468086160322,-0.7798530521477138,-0.36040782326805765,-0.0730396097560975,011070
28,Lotte_Chemical,Materials_&_Chemicals,2017,Q3,-0.04813327970319592,-0.054695098331503544,-0.007050018255428503,-0.1890541402813395,0.0020747004969196015,-0.1901237061431702,0.028333919319845968,-0.006393411080891864,0.0016510482213650812,-0.02554405399489279,0.08200420605850668,011170
28,Hyundai_Merchant_Marine,Transportation,2017,Q3,0.06798821830199742,-0.02184771436470978,-0.023398589073842402,0.697114023951418,-0.0059895774876495,-0.04670601439182739,-0.05158501728928244,0.005105966645264193,-0.0554593859768,0.01758182871385261,-0.07971888407449633,011200
29,Hyundai_WIA,Industrials_&_Machinery,2017,Q3,-0.0015366348467404922,-0.0025151549559569997,-0.05485090819534122,0.836733688364098,-0.007847015065349572,-0.08549428560149867,0.0035343546278086,-0.03637973709108322,-0.02705754340980082,-0.031188786500359056,-0.06978405772005766,011210
28,Kumho_Petrochemical,Materials_&_Chemicals,2017,Q3,0.006226517619568939,-0.035751364317917034,0.031190147171458293,-0.45737084161475794,0.02241479132981139,-0.18059619303089092,-0.03723604042079631,-0.012038050616152152,-0.03509027969326972,0.006799482443142324,-0.04427876510067109,011780
28,SKC,Materials_&_Chemicals,2017,Q3,-0.011439072904656289,-0.01425034684204074,-0.059588977780427266,0.004594688630483623,-0.006002880776402986,-0.018170503965857593,-0.017655355797128625,-0.0016514092770703037,0.0033155039286982824,0.005234709283365113,0.22111985650224222,011790
29,Hyundai_Mobis,Automotive_&_Parts,2017,Q3,-0.012211909775550867,-0.013338451708231558,0.0086875704089312,-0.15585587800415124,-0.0015044000613233521,-0.07439836701190246,-0.003591764232804051,-0.00841520474945412,-0.005699629474058332,-0.007659914174921845,-0.05588870119521907,012330
28,Hanwha_Aerospace,Industrials_&_Machinery,2017,Q3,-0.005122123922900901,-0.058557421301516754,0.5217510504887313,3.494265199320573,0.10942252002439301,-0.19179404695030283,0.09835817862300311,0.11036201084123054,0.1273941881043109,0.06252213635496695,-0.273467471042388,012450
28,Hyundai_Development_Company,Construction_&_Real_Estate,2017,Q3,-0.04178047600545054,-0.04774872723556167,0.004140131079441112,-0.21768531298334848,-0.004926659404400402,0.04896873288633517,-0.044812683534470654,-0.0411575018862802,-0.04368533550602072,-0.03357136854016285,-0.25166523753867304,012630
28,S-1_Corporation,Financials,2017,Q3,-0.036277260077109075,-0.039444920488494795,0.004947275383763938,-0.060131298536799216,0.00216785751451809,-0.027278044532195483,-0.004497515067307445,-0.0057350231341393165,-0.005614377688580197,-0.008001357969424694,-0.09057639669421481,012750
29,Hansol_Chemical,Materials_&_Chemicals,2017,Q3,-0.04440187917298144,-0.08530989659579924,-0.1406565926444403,-0.45121345392095136,-0.003198722140650867,-0.1732456919357824,-0.007624140127263868,0.01496732301747894,-0.03228722889075053,0.05743365574153669,0.011879661971831044,014680
28,Dongwon_Systems,Industrials_&_Machinery,2017,Q3,-0.14452502863672145,-0.031581680570002435,-0.06800175440177547,-0.0004701218818483621,-0.0854422145488174,-0.21622245201780566,-0.12997870409779178,-0.11979137758264269,-0.10078992768994,-0.048640612971424746,-0.06802067870036095,014820
28,UNID,Consumer_Goods_&_Retail,2017,Q3,-0.006852509026263887,-0.015248144467708835,-0.002973642220546191,0.32112345054141045,-0.06801579552824899,-0.03522288748174954,0.02615977995899088,-0.03664898350548196,-0.020791310123902562,-0.05201169393348848,0.023134022462249507,014830
28,Korea_Electric_Power_Corporation_(KEPCO),Energy_&_Utilities,2017,Q3,-0.02622353303021452,-0.0390359397667468,-0.21654012166823722,-4.743557512841023,0.006237594475345554,-0.23566134645670006,0.015662705670067667,0.011647166336296033,0.014470096764826135,-0.0013872289362701906,-0.05383304176904171,015760
28,SK_Telecom,Telecommunications_&_Media,2017,Q3,-0.028480324168502325,-0.02944475190956619,-0.01508410968507512,0.0901225916409285,-0.019482056724001717,-0.053972917436697555,-0.010943118925327289,-0.005352825024462549,-0.010275677859331589,-0.01910464029513914,-0.064097956735327,017670
28,Hyundai_Elevator,Industrials_&_Machinery,2017,Q3,-0.08085623135695785,-0.2882855407388152,-0.02213568567013402,0.07673466711957444,-0.04686596849865343,-0.14209775976474842,-0.03562519338795811,-0.09887028872299175,-0.0554675473518107,-0.10054624386525757,-0.20510680419563473,017800
29,Samsung_SDS,Technology,2017,Q3,-0.021775067525310554,-0.030340848727656633,-0.01654545761479853,-0.328588287624098,0.00832035958887356,0.2642909936443389,-0.013489308667948174,-0.018478953960022082,-0.017654811101215806,-0.016928644185928654,-0.09878486720867202,018260
28,Hanon_Systems,Automotive_&_Parts,2017,Q3,0.01058870871242834,-0.000793015528683938,0.06861016491585548,0.4191444654143539,0.0024073216745780224,7.06634688582286e-05,-0.001593649427910293,-0.0015936494279105151,-0.001593649427910071,0.02139008047020219,0.21123697087378648,018880
28,Daekyo,Consumer_Services,2017,Q3,-0.004321063970424754,-0.007435024258257039,0.026038054554812784,0.05430550862852146,-0.015615640904381722,-0.09379162197827995,-0.018129063189002093,-0.011276712864868976,-0.01140334645781338,-0.0060515717015467985,0.006340907975460183,019680
28,Hansum,Automotive_&_Parts,2017,Q3,-0.010238407580682951,-0.012026010912456808,-0.010394174698856506,-0.37974602704646787,0.0022154125012548986,0.04598293518758155,-0.06087724398548988,-0.03734103753377305,-0.027973863716187708,-0.02410337852920863,-0.06558081957186539,020000
28,Iljin_Materials,Materials_&_Chemicals,2017,Q3,-0.7479856474238065,-0.1897089602337796,-0.07916553411253058,-0.028434268833087195,-0.13864779933035298,0.7610427246659757,-0.3408705586750447,-0.553569510231241,-0.4086802838617707,-0.534206117991813,0.10357403036572563,020150
