,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,매출액변화율,비유동부채변화율,영업이익변화율,Relative Return,전체 주식 수변화율,전체 주주 수변화율,특정 증권 등 소유 증감 수변화율,자기주식수변화율,Label,Code
5,Nongshim,음식료·담배,2023,Q2,-0.013904430138212742,-0.014291257321718653,-0.013230032266500213,-0.018927798509446925,0.3136362681243684,-0.037829088617352014,-0.0061157698852845055,0.0005869899579467042,1.1952695969395106,-0.011068130848023605,0.02275429031383186,004370
5,SEBANG_Global_Battery,전기·전자,2023,Q2,-0.0037696165426226447,-0.017001879465350367,-0.015938705740915937,-0.0676067465459611,-1.1601896737521948,0.21341521075528957,-0.001325502088146857,0.003958582272333699,-0.9004749988039915,0.008786510895177235,-0.1886860997346858,004490
5,Chokwang_Leather,섬유·의류,2023,Q2,-0.06803585423716729,-0.010067039712993386,0.07781958142534262,-0.12890346830686772,0.3791529529291072,-0.099453738477296,-0.0714872677774796,-0.06778359883928076,-0.07917194538827799,-0.03476430279620413,-0.07373011355312234,004700
6,Hansol_Technics,전기·전자,2023,Q2,-0.051429380109657474,-0.25583317079154044,0.0934123113877372,-0.033508678127680325,0.19112476470851847,0.095858761522704,0.03183601564213645,0.04771108505476784,0.0,0.08566591677042712,0.2697450689464504,004710
5,Hyosung,기타금융,2023,Q2,0.0023396249225823285,0.0003421264429344095,-0.05663901945084904,-0.0024061513639581644,0.7565438132705326,-0.09499797781529727,-0.0042053834720812144,-0.004822493477404821,0.9885057471264368,0.01227275915223669,-0.10241370297839975,004800
5,Samkwang_Glass,전기·가스,2023,Q2,0.0013063850204110272,0.005915430933253973,0.1598188380404698,0.27554423665350025,0.5107361749276398,-0.11722433621558356,0.009637708659817057,0.030958840066425908,-0.07148940394794145,0.13220683949354706,-0.18003044373404953,005090
5,Binggrae,음식료·담배,2023,Q2,-0.04681095773134203,-2.418457892941483,-0.23550845425708533,-0.11691353104137381,-1.5080797111002502,-0.04085501236264631,0.07573098203335593,0.07570259579426575,0.0,-0.043051797234506806,0.08914278320998921,005180
5,Lotte_Chilsung_Beverage,음식료·담배,2023,Q2,-0.013339808304218659,-0.009332275092547748,-0.16699386596615295,0.07817089631438956,0.11288660678771989,-0.1571680241915817,0.046593206794304676,0.04987024351331382,1.5317267242925472,0.09369784026792083,-0.2739431080448752,005300
5,Hyundai_Motor,운송장비·부품,2023,Q2,-0.057334131113869535,-0.06052631787765672,-0.12776297008249582,-0.012528187943560365,-0.5158314442407161,0.09859820957465207,0.025177568812716267,0.02746530696946714,-1.1738142830937242,-0.021268090608439705,0.07293280071542572,005380
5,Hyundai_Green_Food,기타금융,2023,Q2,-0.0011831980721119795,0.001064364442186827,0.09901837435492833,0.03059143744037507,1.2756553508026873,-0.02690207630299231,-0.006830192385717027,0.011684799200086693,3.00720475718205,0.01878255611633428,0.0,005440
5,POSCO_Holdings,금속,2023,Q2,0.0009956120629346366,0.00019774217580914577,0.034390365486078434,-0.0027759282939670005,0.7047485867105223,0.22906611711837188,0.0005837007903805036,-0.006039941986914821,0.4276449234081485,0.003145479795051309,-0.037909877732886524,005490
5,SPC_Samlip,음식료·담배,2023,Q2,-0.03683904975743979,-0.0387372767239087,-0.06171867280295351,0.19224812082845932,-0.569752328624753,-0.14427166564816435,0.03087245437918673,0.03115610104348221,0.0,0.011578834775080149,-0.047168361184918364,005610
5,Crown_Confectionery,기타금융,2023,Q2,0.001853291216608377,0.0029528696175397107,0.6081934365178868,0.0035425242510829236,1.039195864494704,-0.14791188825703167,-0.008704920825461482,-0.011897250514974367,0.0,-0.006455152358475713,-0.08446177544757494,005740
5,SL_Corp,운송장비·부품,2023,Q2,-0.04988559327483477,-0.07472023428431251,-0.04758902577627677,-0.03671659047467957,-0.19390203447301402,0.10054626152270402,-0.026774995386408706,-0.032343761949534144,-0.04242887993460065,-0.000558648113855531,0.2511177024607714,005850
6,Samsung_Electronics,전기·전자,2023,Q2,-0.034224483101041425,-0.03460804278904317,0.057853152098978455,-0.7254105191102409,0.05389380420035916,0.05369941467585715,-0.043775123845277486,-0.04790482037481092,0.962,-0.0005478411657766635,0.08242291447490567,005930
5,SK_Chemicals,기타금융,2023,Q2,0.006212727462331924,0.004413760938168809,0.26434789664552183,-0.0013108217658883703,1.096849927511675,-0.04436191877779683,0.0074354035764130355,0.011186514885070165,0.0,0.09501637006911079,0.09037386384199429,006120
5,LS_Corp,기타금융,2023,Q2,-0.021835155974399,-0.023544342165380705,0.0012261072931646355,0.28207135635252356,-0.0,0.04587000252989826,-0.01569368594629794,-0.03425912513872653,3.699366029951607,-0.024890554800443887,0.10833518155565101,006260
5,GC_Biopharma,제약,2023,Q2,-0.007792084941987909,-0.010725230840499478,-0.2910841580365382,0.510167786164079,2.0342178940419213,-0.16382155456925002,-0.048279473837366416,-0.02793596828854361,0.9889839301424838,0.031266061720945704,-0.10006781863876812,006280
6,Samsung_SDI,전기·전자,2023,Q2,-0.005424550792170191,-0.015287532077843613,-0.05641249989352737,0.08814276371416563,-0.3081569706020415,0.13170204041717637,-0.00036597445171682175,0.00010922213727737606,0.8758254507089359,0.015602123324238049,-0.15370208552509432,006400
6,Korea_Petrochemical_Ind,화학,2023,Q2,0.015177314357625149,0.018334245776582048,-0.19358941097961813,0.2154324067933554,-0.02531038462001267,-0.028108709237529908,0.01343667622137279,0.04072365485569396,-0.3643737773144655,-0.0016463649760218857,-0.2831475003722559,006650
5,GS_Retail,유통,2023,Q2,-0.01057110368530112,-0.01584030224582955,-0.09265843145563024,-0.06604524436479697,-1.202788089571043,-0.10294708057823303,-0.012726084427171047,-0.008296500611237434,-3.1200492583226493,-0.004239542916850247,-0.23505683077570483,007070
5,Ottogi,음식료·담배,2023,Q2,-0.017595895463832445,-0.018369428902298646,0.011082025981898225,-0.11772234820860428,0.0893001291371478,-0.16221524475344662,-0.0048332501022008145,0.0006026936392226068,-0.8926652904299845,-0.0012219347635160638,-0.1616930765160853,007310
5,Dong-A_Tire,전기·전자,2023,Q2,-0.02176038240774769,-0.01468570811575387,-0.005850473742460949,-0.08510740894508717,-0.23708795159739937,0.08398654951769541,0.001274307744784653,-0.00010253435363605234,0.0015538817615637912,-0.04195959167624164,0.16701866869081328,007340
5,Ilyang_Pharmaceutical,제약,2023,Q2,-0.05945571603853428,-0.7673134233159988,0.0295855299075527,-0.18870177556383738,0.5611260105804652,-0.235186386292206,-0.07787984598273301,-0.07681072359139018,0.13479369146004505,-0.055046151333387305,-0.02363887741537458,007570
6,Kukdo_Chemical,화학,2023,Q2,-0.018185650381073337,-0.021301710728220735,-0.036552164196715475,0.10255838495466862,-0.27248242651468524,0.0023006474876162836,-0.014499385936252773,-0.008463238705091358,-0.047388596416706896,-0.0263456642615969,0.09383279819583591,007690
5,Seoyon,기타금융,2023,Q2,-4.221628133005417e-05,-0.0001607491733102151,0.57304604151218,-0.012707836688538032,0.9613183420791716,0.11699647797292045,0.003116253243853895,0.0031540327381643918,0.0,0.002382458174994273,0.028678079764161882,007860
5,Daeduck_Electronics,기타금융,2023,Q2,-0.0008005340350198953,-0.0362784157409779,0.8475316080122379,-3.5457701404813644,0.9849408246968514,-0.011648860428515512,0.004339641925019899,0.0029929041926313182,0.02839291761972318,0.0026757883493351287,-0.07107521985345253,008060
5,Seohung,화학,2023,Q2,-0.011629860208383747,-0.012542324088605561,0.03172610450234403,0.20418306558324395,-0.3669551151428292,-0.2163952677126783,0.008799271072450043,0.026500716733969032,0.0,-0.012288179552306877,-0.14077848620421146,008490
5,Hotel_Shilla,유통,2023,Q2,-0.0774165336808974,-0.17222457747128606,-0.03265339307985826,0.18552908988264816,-1.0442840694581137,-0.10067922867337442,0.12120339720121764,0.10642637688217704,1.002033490604506,0.12624329247554977,-0.14508858859257898,008770
6,Samsung_Electro-Mechanics,전기·전자,2023,Q2,-0.021801602890640037,-4.175376498748075,-0.16319134126303547,-0.374681669383492,34.02660116354384,0.06619511648453608,-0.01962631411025728,-0.013381656693833177,0.9987363331185358,-0.04802346875049901,-0.10494687719176099,009150
5,Hanssem,유통,2023,Q2,0.010851953011042137,0.008069796463504031,-0.09304672280530712,0.01727299487589018,0.9232043441000675,0.05082874739841023,0.010605342266784001,0.013915350514031477,0.997030000297,-0.0031460944452259554,-0.1807020855250943,009240
5,Kwang_Dong_Pharmaceutical,제약,2023,Q2,-0.003027265792144629,-0.016545012528894842,-0.07174115476196263,0.3490818499099627,0.25253382222569376,-0.16386051813831293,-0.01467639563987233,-0.013518725692826417,0.0,-0.02165464253165439,0.1579342781112693,009290
5,Hyundai_Heavy_Industries,기타금융,2023,Q2,-0.0013375197903771063,0.0007401333133137955,-0.0568649130916552,-0.03890108945110393,1.8145930480298396,-0.01705150384042449,-0.0021612213017137005,-0.001660138964678648,-0.0027105484374241318,0.9901956211877447,0.4478876580646493,009540
5,Moorim_P&P,종이·목재,2023,Q2,0.011211922607198055,0.02041528651895963,0.1344288207357921,-0.5022342305140337,1.035725715559989,-0.23054422571627511,-0.03950218626274893,-0.022306177465082566,0.0,-0.030173209941341206,-0.06044739383608627,009580
5,Motonic,운송장비·부품,2023,Q2,-0.016777129765365384,-0.01882057881109489,-0.03999245427612452,-0.3688795320814109,-0.07566128512046566,0.035546261522704015,-0.006575982548165271,-0.006537002115143409,-0.004851052913531495,-0.006795032785395172,-0.0709768107998196,009680
5,Hanwha_Solutions,화학,2023,Q2,-0.0056234156974541705,-0.005168578138175839,0.046332455060128175,-0.046003861795465006,-0.23586356321771662,-0.1076724105615143,-0.014532281642456901,-0.018601463985237876,1.262545746227503,-0.02989961018970222,-0.2565229810474824,009830
5,OCI,기타금융,2023,Q2,-0.22126088926248078,-0.18732380926031733,-1.4302572179398876,-0.02108399884205303,0.30210984252980544,0.17136493931976193,0.1266762220857951,0.3385438751010751,0.6212696650343945,-0.09042673741441765,0.331855758530008,010060
