,name,year,quarter,sector,Relative Return,자본총계 변화율,영업이익 변화율,비유동부채 변화율,비유동자산 변화율,국제유가 변화율,총포괄손익 변화율,전체 주주 수 변화율,유동부채 변화율,전체 주식 수 변화율,Label,Code
17,Kangwon_Land,2020,Q2,경기소비재,-0.13776024273704343,0.014400329936083422,0.44510561771436685,-0.31045908508795983,-0.06440128939918166,0.41825270948982285,0.14287087593385217,0.14287087593385206,0.46687531076204236,0.14287087593385195,-0.09039200478250285,035250
17,Halla_Holdings,2020,Q2,경기소비재,-0.21393217530210576,0.029505737579014535,1.7747279971795313,0.20374985733313844,-0.0067687782896324045,0.41825270948982285,0.14297772795882635,0.14297772795882635,-0.06600926332418156,0.14297772795882646,-0.20506690021391683,060980
18,S&T_Motiv,2020,Q2,경기소비재,-0.16458737834565804,-0.010591378009726427,0.3094840224855875,0.023749419709476305,0.06846134982216501,0.41825270948982285,0.1429882021049288,0.1429882021049288,-0.06942502183199228,0.14298820210492869,0.1774832453808916,064960
17,Hyundai_Department_Store,2020,Q2,경기소비재,-0.095701673311164,0.0016079252723047999,0.2718595316954753,-0.05851379612229346,-0.017262765272163083,0.41825270948982285,0.14235199116412922,0.1423519911641291,-0.2705038574358132,0.14235199116412922,-0.22174201945947603,069960
17,Kumho_Tire,2020,Q2,경기소비재,-0.0746797099369402,0.26440929647311495,-1.7771802229946876,0.00010943209330049886,0.15184414983142824,0.41825270948982285,0.14295841294642264,0.14295841294642253,0.056009817248057314,0.14295841294642264,-0.20564267911481887,073240
17,Hyundai_Livart,2020,Q2,경기소비재,-0.27315476647426373,-0.013632050503136206,0.3589524973399678,-0.2769113014860647,-0.11156734453448536,0.41825270948982285,0.14299518707100067,0.14299518707100067,-0.08978021353951093,0.14299518707100067,1.1949006518793657,079430
17,Basic_House,2020,Q2,경기소비재,-0.34680815428495504,0.06353794310400485,1.2976363339220094,0.052069255245877244,0.12307139548481161,0.41825270948982285,0.14300409821064852,0.14300409821064852,0.026103109853754525,0.14300409821064852,0.1440532876339496,084870
17,LF_Corp,2020,Q2,경기소비재,-0.21755827847770212,-0.013291183666045203,6.600529982820832,-0.49673637125425296,-0.03286180928720572,0.41825270948982285,0.1429567090117494,0.1429567090117494,0.01109342966844551,0.14295670901174928,-0.025174348621974568,093050
17,Hansea,2020,Q2,경기소비재,-0.2832508420319906,-0.022958295658278116,1.2598782440874325,-1.7202405350164272,0.13390458085741486,0.41825270948982285,0.14298144207719898,0.14298144207719887,-0.2456276217885609,0.14298144207719887,-0.020957500227965775,105630
17,Youngone_Corporation,2020,Q2,경기소비재,-0.14763703129030256,-0.04405327335957043,-0.1715286078842153,-0.2810963718214434,-0.08320016371660488,0.41825270948982285,0.14294270906906648,0.14294270906906648,-0.18534155462796043,0.14294270906906648,-0.03331906648504354,111770
17,GKL,2020,Q2,경기소비재,-0.11268228015908086,0.0416095750222405,2.1911693067864317,0.008687964617849597,0.003261467599182555,0.41825270948982285,0.1430031978603148,0.1430031978603149,0.3853005735103595,0.1430031978603149,-0.22597914161133342,114090
17,Hankook_Tire_&_Technology,2020,Q2,경기소비재,-0.22478007741429937,0.0020963346851152753,1.3326936060800691,-0.15006906282629684,0.0010330549977261017,0.41825270948982285,0.14253527671437838,0.14253527671437838,0.11017702259429851,0.14253527671437827,0.09141580395248744,161390
