,name,year,quarter,sector,Relative Return,금리 변화율,국제유가 변화율,실업률 변화율,소비자물가지수 변화율,Label,Code
29,현대그린푸드,2017,Q3,생활소비재,-0.2418276399515148,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.022020781458245577,005440
29,POSCO,2017,Q3,철강_소재,-0.10244012501573532,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.08341217757263861,005490
29,삼립식품,2017,Q3,생활소비재,-0.12994220669409448,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.14903348758140963,005610
29,크라운제과,2017,Q3,생활소비재,-0.23437317751347925,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.20175310955912837,005740
29,에스엘,2017,Q3,경기소비재,-0.06480747034245979,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.037974506301888096,005850
29,삼성전자,2017,Q3,정보기술,0.15335686218290157,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.06716811652335422,005930
29,SK케미칼,2017,Q3,에너지_화학,0.0512198171816961,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.08640578571820204,006120
29,LS,2017,Q3,산업재,-0.23972379605919317,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.07619834967488062,006260
29,녹십자,2017,Q3,헬스케어,0.13925718830616043,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.005783587816245543,006280
29,삼성SDI,2017,Q3,정보기술,0.1428726843460105,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.041095324840439824,006400
29,대한유화,2017,Q3,에너지_화학,-0.12299077714426866,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.22191005266217506,006650
29,GS리테일,2017,Q3,생활소비재,-0.21420762367075274,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.10920171221904379,007070
29,오뚜기,2017,Q3,생활소비재,-0.08551896752858136,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.001421906037824626,007310
29,동아타이어,2017,Q3,경기소비재,-0.2007839161527798,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.0,007340
29,일양약품,2017,Q3,헬스케어,-0.023961915065807582,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.12430095612278758,007570
29,국도화학,2017,Q3,에너지_화학,-0.046162078169793834,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.0809460599245318,007690
29,서연,2017,Q3,경기소비재,-0.20054770149270745,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.1671144756605543,007860
29,대덕전자,2017,Q3,정보기술,-0.17839873806299716,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.14864362705953385,008060
