,name,year,quarter,sector,Relative Return,자본금 변화율,보유 주식 수 변화율,금리 변화율,1인평균급여 변화율,증자주식수 변화율,자기주식수 변화율,Label,Code
4,삼광글라스,2023,Q4,철강_소재,-0.244654431794135,0.0,0.17769238506821106,0.00757180156657955,0.11151079136690645,0.0,-0.9922487229483767,0.0357202492376105,005090
4,빙그레,2023,Q4,생활소비재,-0.18555266399671505,0.0,0.03556026547657387,0.00757180156657955,0.11789152663995695,0.0,0.0,0.3699871883729232,005180
4,롯데칠성,2023,Q4,생활소비재,-0.29854025651173866,0.0,-0.07424441264856052,0.00757180156657955,0.040000000000000036,-0.5273761809332951,0.0,0.010995740149094723,005300
4,현대차,2023,Q4,경기소비재,0.2734972278669586,0.0,-0.0037487909378368656,0.00757180156657955,0.1333333333333333,0.0,-0.27771201982271265,-0.009406230730933338,005380
4,현대그린푸드,2023,Q4,생활소비재,0.08749462331802357,-0.028989358184408842,-0.16876006657894593,0.00757180156657955,1.1223830670742259,0.8687642951923176,0.0,0.09085452462285674,005440
4,POSCO,2023,Q4,철강_소재,-0.12689963756875255,0.0,0.13010694060438222,0.00757180156657955,0.20574162679425845,0.0,-0.0030990410170632643,-0.12751720515276052,005490
4,삼립식품,2023,Q4,생활소비재,-0.23143933308341808,0.0,-0.017171395869186368,0.00757180156657955,-0.002802007940672646,0.0,0.0,0.027331515279521636,005610
4,크라운제과,2023,Q4,생활소비재,-0.06942558392178161,0.0,-0.002644738725753548,0.00757180156657955,0.057682908809856714,0.0,0.0,0.0636607746352647,005740
4,에스엘,2023,Q4,경기소비재,0.006456914060957136,0.0,0.032427781135927036,0.00757180156657955,0.13207547169811318,0.0,0.0,-0.03461302608610922,005850
4,삼성전자,2023,Q4,정보기술,-0.07907967861134663,0.0,0.00646586347647049,0.00757180156657955,-0.11067193675889331,0.0,0.0,0.047702561994951,005930
4,SK케미칼,2023,Q4,에너지_화학,0.029458673432543908,0.0,-0.07276720177658014,0.00757180156657955,-0.12328767123287676,0.0,0.3939937836536356,-0.03215266945102983,006120
4,LS,2023,Q4,산업재,0.2954907408760818,0.0,0.024168575177454743,0.00757180156657955,0.1435406698564594,0.0,0.005102955474894477,0.37648445993258495,006260
4,녹십자,2023,Q4,헬스케어,0.05349638702774506,0.0,-0.010360535438787122,0.00757180156657955,0.015037593984962516,0.0,0.0,-0.09395144067091342,006280
4,삼성SDI,2023,Q4,정보기술,-0.12927765950942557,0.0,0.023611233011527677,0.00757180156657955,-0.057906458797327365,0.0,0.0,0.009525937278218849,006400
4,대한유화,2023,Q4,에너지_화학,-0.20069021246227506,0.0,-0.03417079335446682,0.00757180156657955,0.006369426751592355,0.0,0.0,-0.010071990347319214,006650
4,GS리테일,2023,Q4,생활소비재,-0.23976420579566762,0.0,-0.009244215394830113,0.00757180156657955,0.07597765363128506,0.0,-0.49577701537926877,-0.06763806940689157,007070
4,오뚜기,2023,Q4,생활소비재,-0.1020176622102293,0.0,0.12457516282691139,0.00757180156657955,-0.00990099009900991,0.0,0.0,0.07018175718968671,007310
4,동아타이어,2023,Q4,경기소비재,0.03251053802867514,0.0,-0.1227763898291564,0.00757180156657955,-0.0028035566287742952,0.0,0.0,0.014087573516147707,007340
4,일양약품,2023,Q4,헬스케어,-0.129648217565095,0.0,-0.00880539841924588,0.00757180156657955,0.03252032520325199,0.0,0.11521768513373476,-0.05179431666068886,007570
4,국도화학,2023,Q4,에너지_화학,-0.09615814877157773,0.0,-0.10989315536342736,0.00757180156657955,-0.08736156311863741,0.0,0.2884160574678609,-0.08116796739568813,007690
4,서연,2023,Q4,경기소비재,0.5346106457624004,0.0,0.012761021650776305,0.00757180156657955,0.02051282051282044,0.0,0.0,-0.20480535678798745,007860
4,대덕전자,2023,Q4,정보기술,-0.04686844106463875,0.0,-0.038363742335897455,0.00757180156657955,-0.4334600760456274,0.0,0.0,-0.06674507553379483,008060
4,서흥,2023,Q4,헬스케어,-0.34901971392386616,0.0,0.0,0.00757180156657955,-0.05833333333333335,0.0,0.0,-0.0072312532263483715,008490
4,호텔신라,2023,Q4,경기소비재,-0.19203755714336204,0.0,0.0043903581906801215,0.00757180156657955,-0.00917431192660545,0.0,0.0,-0.04357529876882611,008770
4,삼성전기,2023,Q4,정보기술,-0.10836384571847801,0.0,-0.0009106598003065791,0.00757180156657955,-0.0055248618784530246,0.0,0.0,0.08718426559572137,009150
4,한샘,2023,Q4,경기소비재,-0.03923797918023775,0.0,-0.16407597969352672,0.00757180156657955,0.016483516483516425,0.0,-0.09700882478540374,0.286103432571834,009240
4,광동제약,2023,Q4,헬스케어,-0.09776234306129312,0.0,-0.04683293997096094,0.00757180156657955,0.15126050420168058,0.0,0.08818156301644087,-0.06094678622268626,009290
4,현대중공업,2023,Q4,중공업,0.1893023454522152,0.0,0.02666849807339311,0.00757180156657955,0.08707872928176785,0.0,0.0,0.05059624570439717,009540
4,무림P&P,2023,Q4,철강_소재,-0.14055262680523023,0.059027128848342825,0.00022071206489537865,0.00757180156657955,-0.07326007326007322,0.0,0.0,0.009048081563072224,009580
4,모토닉,2023,Q4,경기소비재,-0.14646401817030763,0.0,0.02269691512901373,0.00757180156657955,0.10255569792504748,0.0,0.0,0.0123775520447868,009680
4,한화케미칼,2023,Q4,에너지_화학,-0.2136681476471225,0.0,-0.10478865708529539,0.00757180156657955,0.19705832738733253,-0.29826028364821244,-0.031157300121315012,0.02240288086990374,009830
4,OCI,2023,Q4,에너지_화학,-0.18592472848978844,0.0,-0.30484313184437606,0.00757180156657955,0.5515151515151515,3.8032020750283007,-0.17089333333333334,0.042259096874718405,010060
4,LS산전,2023,Q4,산업재,0.1289886933733804,0.0,0.04442064414416946,0.00757180156657955,0.04477611940298498,0.0,0.0,1.1140461433752105,010120
4,고려아연,2023,Q4,철강_소재,-0.16686356675994282,0.0,-0.2787180976894824,0.00757180156657955,0.12738358824130525,0.02631605444450935,-0.9131163444169399,0.05320753666750158,010130
4,삼성중공업,2023,Q4,중공업,0.01823121812080361,0.0,0.025016996531960878,0.00757180156657955,0.07876712328767121,0.020408163265306145,0.0,0.22581038653978008,010140
4,현대미포조선,2023,Q4,중공업,-0.22658134178314868,0.0,-0.20787101892720128,0.00757180156657955,-0.001705155154419491,0.0,0.0,0.14666691807358895,010620
4,화신,2023,Q4,경기소비재,0.023948836478993027,0.0,0.16605283462757559,0.00757180156657955,-0.03676470588235292,0.0,-0.9138259170174383,-0.10286384503520953,010690
4,아이에스동서,2023,Q4,건설,-0.07860744815683732,0.0,-0.031271243030209006,0.00757180156657955,-0.06082725060827243,0.0,0.0,-0.0849487611176174,010780
4,S-Oil,2023,Q4,에너지_화학,0.058710795737404564,0.0,-0.1646778674586078,0.00757180156657955,0.019172343749176424,0.0,0.0,-0.15168970631309517,010950
4,LG이노텍,2023,Q4,정보기술,-0.22337108492058472,3.9295043539056e-06,0.015667478826413284,0.00757180156657955,0.026033690658499253,0.0,0.0,0.10802436380744371,011070
4,롯데케미칼,2023,Q4,에너지_화학,-0.26315182541908133,0.0,0.14380942519181317,0.00757180156657955,0.04878048780487809,0.0,1.134497424308353,-0.07093220812656266,011170
4,현대상선,2023,Q4,산업재,-0.14033108180328285,0.4089650036377437,-0.008154428615545939,0.00757180156657955,-0.021868350074705556,1.2670588544926393,0.0,0.14795358872219788,011200
4,현대위아,2023,Q4,경기소비재,0.00259770778010443,0.0,-0.1255637091198366,0.00757180156657955,0.15419847328244285,0.0,0.0,-0.05819062057776517,011210
4,금호석유,2023,Q4,에너지_화학,-0.049396631828727014,0.0,-0.060348551424769026,0.00757180156657955,-0.30578512396694213,0.0,0.0,0.04666510230293855,011780
