날짜,시가,고가,저가,종가,거래량,등락률,SMA_20,SMA_60,EMA_20,RSI,BB_UPPER,BB_MIDDLE,BB_LOWER,MACD,MACD_SIGNAL,MACD_HIST,STOCH_SLOWK,STOCH_SLOWD,OBV
2024-08-23,52700,53700,52100,53000,456063,-0.5628517823639775,50777.5,54902.5,51568.86645612713,52.55195528439496,54951.64362474508,50777.5,46603.35637525492,-502.7122747344765,-1108.5602047426346,605.8479300081581,75.79718756189351,61.1523734072755,351899830.0
2024-08-26,53400,55400,51300,54300,1750719,2.4528301886792456,50992.5,55090.0,51828.97441268645,55.363779392199106,55419.60684307483,50992.5,46565.39315692517,-233.40293327274412,-933.5287504486565,700.1258171759124,82.24400871459702,73.41552782729266,353650549.0
2024-08-27,54400,56000,53500,55000,1201567,1.289134438305709,51142.5,55289.166666666664,52130.97684957346,56.84671753852765,55887.84245339575,51142.5,46397.15754660425,36.094732354227745,-739.6040538880796,775.6987862423074,79.88710635769466,79.30943421139513,354852116.0
2024-08-28,55000,55400,52900,53100,709303,-3.4545454545454546,51267.5,55320.833333333336,52223.264768661706,51.81484037815579,56080.32401506641,51267.5,46454.67598493359,95.26133952802047,-572.6309752048596,667.8923147328801,66.61096256684499,76.24735921304563,354142813.0
2024-08-29,52400,56700,52100,55400,1533427,4.331450094161959,51387.5,55475.833333333336,52525.810981170114,56.79987891937769,56478.7547569337,51387.5,46296.2452430663,324.0071276040326,-393.3033546430812,717.3104822471138,65.77581369248043,70.75796087234009,355676240.0
2024-08-30,56100,56800,54300,56400,949390,1.8050541516245489,51467.5,55622.5,52894.78136391582,58.795844654988585,56814.58097937557,51467.5,46120.41902062443,579.3036039871877,-198.7819629170274,778.085566904215,69.41217732884407,67.26631786272323,356625630.0
2024-09-02,56800,58900,55900,57300,1747212,1.5957446808510638,51687.5,55783.333333333336,53314.325995923835,60.561927186132216,57585.879014610706,51687.5,45789.120985389294,844.5153321621692,9.877496098811918,834.6378360633573,81.70792896283099,72.29863999471856,358372842.0
2024-09-03,57700,60500,57200,57900,1802104,1.0471204188481675,52227.5,55964.166666666664,53751.056853454895,61.73930607858217,58321.306281791374,52227.5,46133.693718208626,1090.541440194851,226.01028491801975,864.5311552768312,79.41516000339537,76.84508876502355,360174946.0
2024-09-04,56300,59400,56300,58200,1748233,0.5181347150259068,52697.5,56039.166666666664,54174.765724554425,62.34462222404926,59103.39377058346,52697.5,46291.60622941654,1294.800739192593,439.7683757729344,855.0323634196586,72.71241830065365,77.94516908896009,361923179.0
2024-09-05,58900,58900,53800,53900,1743282,-7.388316151202749,52930.0,56025.833333333336,54148.597560311144,50.10784564591207,59153.455631721015,52930.0,46706.544368278985,1097.0574465077225,571.226189919892,525.8312565878305,47.71973466003323,66.6157709880275,360179897.0
2024-09-06,53500,54800,49950,50100,1436452,-7.050092764378478,53112.5,55765.833333333336,53763.01684028151,42.22110663133232,58751.81511799084,53112.5,47473.18488200916,626.4943830479751,582.2798285455086,44.21455450246651,25.177795293449318,48.53664941804548,358743445.0
2024-09-09,50100,51600,49850,50100,772996,0.0,53155.0,55462.5,53414.158093588034,42.22110663133231,58689.06722040851,53155.0,47620.93277959149,250.68008110033406,515.9598790564737,-265.27979795613965,1.753918700558639,24.88381621801381,358743445.0
2024-09-10,50800,51100,50000,50200,423334,0.1996007984031935,53130.0,55159.166666666664,53108.0477989606,42.49733322947721,58712.50839676932,53130.0,47547.49160323068,-38.640868643262365,405.0397295165265,-443.6805981597889,2.4780467514038893,9.803253581804029,359166779.0
2024-09-11,50300,51600,49850,50900,570200,1.394422310756972,53195.0,54897.5,52897.75753239293,44.49761263184372,58640.172173586434,53195.0,47749.827826413566,-209.0360187997212,282.22457985327696,-491.26059865299817,5.871516417031917,3.367827289664895,359736979.0
2024-09-12,51400,53600,50700,53600,795535,5.304518664047151,53410.0,54755.833333333336,52964.637767403125,51.50491431175092,58554.27837504931,53410.0,48265.72162495069,-124.76970033199177,200.82572381622322,-325.595424148215,30.34156905609864,12.897044074844894,360532514.0
2024-09-13,53400,55000,52800,54400,601754,1.4925373134328357,53505.0,54612.5,53101.33893241235,53.38291260344795,58648.7243316492,53505.0,48361.2756683508,6.49046029465535,161.95867111190964,-155.4682108172543,58.56976675514471,31.59428407609184,361134268.0
2024-09-19,54900,55400,52800,54900,491452,0.9191176470588236,53715.0,54454.166666666664,53272.63998646832,54.56713238627958,58724.700589855645,53715.0,48705.299410144355,149.14169200733159,159.39527529099402,-10.253583283662437,85.03269377055791,57.98134319393384,361625720.0
