,name,sector,year,quarter,자본총계변화율,Relative Return,매출액변화율,이익잉여금변화율,비유동부채변화율,유동자산변화율,Label,Code
24,Hanwha_Solutions,Materials_&_Chemicals,2018,Q3,-0.04174439275658859,-0.21882819890283353,0.03197481990816664,-0.06074009562781746,-0.01856966700691176,0.018843313066281953,-0.12129218432150549,009830
24,OCI,Materials_&_Chemicals,2018,Q3,-0.0006461172275731286,-0.28935170107149166,0.16785055865719367,-0.0008963678308506751,0.026121697068187122,0.14626105201562734,0.05815167868261119,010060
24,Korea_Zinc,Materials_&_Chemicals,2018,Q3,-0.018767710181020414,-0.13953993347092808,0.0365632555857035,-0.021343649898618144,0.03663548044961118,-0.008690282697960905,0.12488671432748501,010130
24,IS_Dongseo,Technology,2018,Q3,-0.007436638501780335,-0.05445209540438102,0.7198713746065704,-0.01208029080713402,-0.8218164250166198,0.08056026353794721,0.4022873421403514,010780
24,S-Oil,Energy_&_Utilities,2018,Q3,-0.023729101224574833,-0.040899692780903565,-0.19736628399069334,-0.03156463787756536,-0.041486282428327526,0.011873883160337884,0.24649458808242386,010950
24,LG_Innotek,Technology,2018,Q3,-0.03640420321386051,0.19721201109843517,-0.5696541720101531,-0.1254869171246913,0.04432018027843876,-0.1814496207461591,-0.10464696442899167,011070
24,Lotte_Chemical,Materials_&_Chemicals,2018,Q3,-0.03221363082675133,-0.14031012895228925,0.0708346761466574,-0.03520675966286069,0.027074346285407835,-0.03861145633861662,-0.20233635641730832,011170
24,Kumho_Petrochemical,Materials_&_Chemicals,2018,Q3,-0.025748252417875817,0.26773248679132466,-0.018274272452824425,-0.11900010650432735,-0.23510674912265195,-0.10053063877464608,-0.15183311161513885,011780
24,SKC,Materials_&_Chemicals,2018,Q3,-0.013417773602673932,0.18740901216500144,-0.004145282261973859,-0.016386928600716777,0.05854927547208211,-0.10090106550078648,-0.020794599953789815,011790
25,Hansol_Chemical,Materials_&_Chemicals,2018,Q3,-0.06648181193238356,0.16418462280788898,-0.04169811637748788,-0.08384306986075907,-0.006785990869335956,0.11912642877940482,0.01578726290178739,014680
24,Korea_Electric_Power_Corporation_(KEPCO),Energy_&_Utilities,2018,Q3,-0.009106371776872901,0.024511424014286437,-0.23082089875902545,-0.013642632685010314,-0.06102667602866596,0.017184375829990883,-0.08745946442899166,015760
25,Samsung_SDS,Technology,2018,Q3,-0.02860455634117276,-0.1739847590345052,0.05304291265137384,-0.038961424373914255,-0.2981444219244167,-0.05282389994515313,0.14747273631913801,018260
