,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,매출액변화율,영업이익변화율,비유동자산변화율,Relative Return,전체 주주 수변화율,특정 증권 등 소유 증감 수변화율,전체 주식 수변화율,특정 증권 등 소유 수변화율,Label,Code
8,Dongwon_Systems,화학,2022,Q3,-0.02807809000422168,-0.10123489001507524,-0.01702904263904159,0.2736595516772401,-0.00978533293216488,0.08063192774054473,0.05123613720475695,0.06709292774248121,0.03432305276631975,0.06407762741706313,-0.07864873141887908,014820
8,UNID,화학,2022,Q3,-0.0289436847483433,-0.038780958123677545,-0.15467425153300085,-0.20335001890930848,0.008230133032401166,0.07407134231692201,-0.11259322071207811,0.5221277916461089,-0.051306872760140454,0.44681645523563396,-0.045190387172995464,014830
8,Korea_Electric_Power_Corporation_(KEPCO),전기·가스,2022,Q3,0.17859228989217124,0.34681980954124625,-0.29560054003998526,-0.5305451351413337,-0.03120050505320182,0.14500948121326762,-0.05312977487939641,-0.1493892949609068,-0.04856880511666972,-0.15897969008401924,-0.027859520629668302,015760
8,Iljin_Materials,전기·전자,2022,Q3,-0.010143193294971153,-0.06855466437180069,0.10186124257779017,0.4689633207187994,0.0037546727479180753,-0.11618410494190132,0.01101400652705875,0.010505296331744574,0.011138826079872155,0.008305789555787535,-0.1835823078710802,020150
8,Korea_Electric_Terminal,전기·전자,2022,Q3,-0.024105922323694795,-0.03322062316671692,-0.032499938997174516,-0.4101620692880943,0.003702210369055714,0.0034586702235291367,-0.036078037282037956,-0.00848196457250494,-0.03015908390632016,-0.04785025177251945,0.25093742868966906,025540
8,Namhae_Chemical,화학,2022,Q3,-0.021015696209563117,-0.025233461100705012,0.1989353214223466,0.36436377573955125,-0.03710834033810495,0.04745421412177207,-0.02348857609794286,0.0,-0.029431550905322013,0.0,-0.088553181323329,025860
9,Sindoh,전기·전자,2022,Q3,-0.014387390899899266,-0.024591278641451275,-0.21853501461576452,0.7341112512731331,-0.6629889447155959,0.12491849287285137,-0.02120531103436818,0.14589177188090663,-0.016391357427816278,0.14589177188090663,0.10464963687948921,029530
8,LG_Display,전기·전자,2022,Q3,0.10857898298044266,0.1780178425165475,-0.22230952109476476,-0.37326712731801126,-0.08147091593399369,-0.13252886030212604,-0.13199529433531842,-0.19374788014730981,-0.11271489417835001,-0.19376970582667918,-0.07803014795860956,034220
8,Korea_Gas_Corporation,전기·가스,2022,Q3,0.10072205010186519,0.11727406326416734,-0.21742287124736448,-0.13559020613494743,-0.03717264432885514,0.1534523253981308,-0.678894923118492,-0.31697385688556623,-0.6599990289724764,-0.8958851942636785,-0.06425820965993627,036460
8,Daewoo_E&C,건설,2022,Q3,-0.05144543208449903,-0.16947111617015742,-0.0018552647366705255,-0.791316167715477,-0.02792258960027727,-0.01093002875995358,-0.035446380143828726,0.03953678499632718,-0.03479550789516228,-0.013949410589720879,-0.21307091940038914,047040
