,name,sector,year,quarter,Relative Return,이익잉여금 변화율,자본총계 변화율,실업률 변화율,환율 변화율,자기주식수 변화율,발행금액 변화율,전체 주주 수 변화율,특정 증권 등 소유 증감 수 변화율,증자주식수 변화율,Label,Code
18,Samsung_Fine Chemicals,화학,2020,Q1,-0.07989493400931637,-0.012731457181865746,-0.008682921432705548,-0.00943396226415083,-0.015754379708652122,0.3692891599830247,0.0,-0.01798328199228405,-0.01798328199228383,0.0,-0.11651990594792613,004000
18,Hansol_Holdings,기타금융,2020,Q1,-0.1283874223292361,-0.2510643243848374,-0.030346546731733426,-0.00943396226415083,-0.015754379708652122,0.628595852672333,0.3070888375258144,-0.017976897678073644,-0.017976897678073644,-0.3737772313973089,-0.11997686786825038,004150
18,Shinsegae,유통,2020,Q1,0.041441789750314886,-0.017257477685203026,0.015031440700437049,-0.00943396226415083,-0.015754379708652122,-3.622165232245642,0.0,-0.017781592562002846,-0.017781592562002846,-0.017781592562002624,-0.053694635679208375,004170
18,Nongshim,음식료·담배,2020,Q1,-0.10463026156367192,-0.008717470297038732,-0.008396744858928162,-0.00943396226415083,-0.015754379708652122,0.369235163751657,0.0,-0.017981012138791552,-0.017981012138791552,0.0,0.3945942271174264,004370
18,Chokwang_Leather,섬유·의류,2020,Q1,-0.0260012293056074,-0.018679492624076532,0.05219336022023546,-0.00943396226415083,-0.015754379708652122,0.1876338298953063,0.0,-0.017976039576695246,-0.017976039576695246,0.0,0.22980384196621656,004700
18,Hyosung,기타금융,2020,Q1,-0.1259557388370154,-0.0929806944137308,-0.3133889347495584,-0.00943396226415083,-0.015754379708652122,-0.38915788710259847,0.3209578677072704,-0.017738241504148045,-0.01648450577256977,0.32095786770727064,-0.03253871532766725,004800
18,Binggrae,음식료·담배,2020,Q1,-0.1088710847004906,0.8119134429516685,0.019394360713471892,-0.00943396226415083,-0.015754379708652122,0.3692904756764157,0.0,-0.01797696527382575,0.0,0.0,0.05880931068734871,005180
18,Lotte_Chilsung_Beverage,음식료·담배,2020,Q1,-0.052490515860822845,0.01516653216464281,0.027673431846842234,-0.00943396226415083,-0.015754379708652122,0.797752623291738,-0.01793403989492881,-0.01793403989492859,-0.01793403989492859,-0.0590260162640619,-0.19567097605100256,005300
18,Hyundai_Green_Food,기타금융,2020,Q1,-0.057052559656443284,-0.005001411243322984,0.05071053675799542,-0.00943396226415083,-0.015754379708652122,0.3174719792736237,0.2874483987623825,-0.017958984770374276,-0.017958984770374276,0.19896264676232522,-0.24727539261861978,005440
18,SPC_Samlip,음식료·담배,2020,Q1,-0.17449152525420755,0.016222850590304372,0.015254518747779389,-0.00943396226415083,-0.015754379708652122,0.4268883566581052,0.0,-0.017975638566140262,0.0,0.0,-0.11670783367268897,005610
18,Crown_Confectionery,기타금융,2020,Q1,-0.14165290007083234,-0.013600768601023105,-0.008247784683496073,-0.00943396226415083,-0.015754379708652122,0.023224259948138593,0.0,-0.01797668366769689,0.0,0.19224123828286932,-0.06556689554369624,005740
18,SK_Chemicals,기타금융,2020,Q1,0.10886959247223524,-0.001615615769144929,-0.0023964200276478387,-0.00943396226415083,-0.015754379708652122,-72.84252472937253,0.26356815788612786,-0.01797081612814022,0.0,0.42325349061641204,0.005717484512194337,006120
18,LS_Corp,기타금융,2020,Q1,-0.06381750155548806,0.010196444458192455,0.003004986306272661,-0.00943396226415083,-0.015754379708652122,0.18165603451130274,0.0,-0.01794738985327915,-0.01794738985327915,0.0,-0.2003874620065221,006260
18,GC_Biopharma,제약,2020,Q1,0.09817804560161497,0.013693249860017631,0.011387877342643793,-0.00943396226415083,-0.015754379708652122,0.4016812947584367,-0.017971448915991672,-0.017971448915991894,-0.017971448915991672,-0.017971448915991672,0.2404645729877723,006280
19,Korea_Petrochemical_Ind,화학,2020,Q1,-0.1418486435401184,0.03348689837818075,0.027589688358775843,-0.00943396226415083,-0.015754379708652122,0.1793556014533365,0.0,-0.017963501314697483,-0.017963501314697483,0.0,-0.05883612631292698,006650
18,GS_Retail,유통,2020,Q1,-0.1135434007835619,-0.01156906500110022,-0.010397467909291969,-0.00943396226415083,-0.015754379708652122,-0.017924856687819624,0.0,-0.017924856687819624,-0.017924856687820068,0.43940142373570845,-0.022703023409555018,007070
18,Ottogi,음식료·담배,2020,Q1,-0.1192159122866975,-0.01609088997333541,-0.01556134169287926,-0.00943396226415083,-0.015754379708652122,-0.08609581186886484,-0.017995654330509092,-0.017995654330509314,-0.017995654330509314,-0.017995654330509092,0.05331327663069979,007310
18,Ilyang_Pharmaceutical,제약,2020,Q1,0.05029995322194469,0.25075118444533673,0.008678166230319806,-0.00943396226415083,-0.015754379708652122,0.33433678071210016,0.53249119503959,-0.017976721443103694,-0.017976721443103916,0.5632375017554172,1.0320144328195704,007570
19,Kukdo_Chemical,화학,2020,Q1,-0.03914165619426032,0.005681117828267079,0.011480379120008322,-0.00943396226415083,-0.015754379708652122,-0.22812976760048032,-0.017982344470613087,-0.01798234447061331,-0.017982344470613087,-0.017982344470613087,0.009799678582253918,007690
