종목코드,종목명,작성기준일,작성시간,보고자,특별관계자수,주식수,주식비율,증감주식수,증감주식비율,변동방법,변동사유,변경사유
00520610,씨큐브,2023.02.06,07:30,스타치얼코퍼레이션,1,4303928,42.45,4303928,42.45,"장외주식매매계약 체결

보고자 스타치얼코퍼레이션(STAR CHEERCORPORATION LIMITED)는 장길완, 임광수 (이하 ""매도인들"")과 2023년 1월 27일자로 각 주식매매계약을 체결하였으며, 각 계약에 따라 합의된 선행조건이 성취되는 것을 조건으로 거래종결일에 매도인들이 소유하고 있는 발행회사 주식 중 3,128,352 주를 매도인들으로부터 매수하기로 함(각 장길완으로부터 2,255,189주,  임광수로부터 873,163주)
한편, 보고자의 특별관계자 글로벌신소재인터내셔널홀딩스(Global New Material International Holdings Ltd)는 발행사와 2023년 1월 27일자로 주식매매계약을 체결하였으며, 각 계약에 따라 합의된 선행조건이 성취되는 것을 조건으로 거래종결일에 발행사가 보유중인 자기주식 전량인 1,175,576주를 매수하기로 함",경영권양수를 수반하는 주식매매계약 체결,
00136642,엠벤처투자,2023.02.06,07:30,홍성혁,4,18888211,22.01,-911362,-1.06,장내매수 및 장외 매도,주식등 변동,주식담보대출 상환
00154426,아이에이치큐,2023.02.06,17:26,엔에스이엔엠,0,26959706,11.18,8771276,0.34,변동보고,전환가액 변동 / 장내매도 및 전환청구권 행사,
01350869,우리금융지주,2023.02.06,17:19,BlackRockFundAdvisors,13,36888004,5.07,486171,0.08, 장내에서 발행회사의 주식 매수," 단순투자목적
 본 보고는 보고자 및 특별관계자들이 투자자문사로서 발행회사의
  주식에 대한 취득 및 처분권한을 가지고 있으므로 보고자가
  대표보고자로서 동 주식의 보유자의 지위에서 이행하는 것임.",
00110750,플루토스,2023.02.06,16:57,더테크놀로지,1,10020000,7.15,10020000,7.15,,,
01472930,오브젠,2023.02.06,16:56,네이버클라우드,0,269860,6.96,269860,6.96,신규상장,신규상장,신규상장
01042711,글로벌텍스프리,2023.02.06,16:24,한성크린텍,2,7517688,13.70,-591218,-2.94,장내매도 ,보유주식 장내매각에 따른 지분변동,
01391103,브랜드엑스코퍼레이션,2023.02.06,16:24,우리벤처파트너스,2,1367790,4.67,-541560,-1.79,장내 매도,단순 처분,
00971090,어스앤에어로스페이스,2023.02.06,16:24,애이플,0,1800000,46.12,-200000,-17.43,전환사채 소각,전환사채 소각,
00945776,지슨,2023.02.06,14:43,더벨,2,8563096,51.05,8563096,51.05,,,
00980122,JB금융지주,2023.02.06,14:35,"TheCapitalGroupCompanies,Inc.",10,10067593,5.11,10067593,5.11,,,
00641393,엔시트론,2023.02.06,11:09,휴곤,0,3268295,6.92,-346687,-0.73,장내주식 매입 및 매도,"주식매입,매도",
00359395,헬릭스미스,2023.02.07,17:59,비에스제이홀딩스,3,4977168,12.24,2006031,4.94,"특별관계자추가
(2023년 1월 31일 임시주주총회를 통한 경영권 이전 및 임원 선임) ","특별관계자추가
(2023년 1월 31일 임시주주총회를 통한 경영권 이전 및 임원 선임) ",
00305668,새론오토모티브,2023.02.07,17:52,김형인,2,3432193,17.88,20392,0.11,장내매매 및 대출계약 변경,장내매매 및 대출계약 변경,
01405451,알체라,2023.02.07,17:43,김정배,4,6758252,31.36,-15201,-0.08,"특별관계해소, 주식매수선택권 행사로 인한 주식수량 변동 외","특별관계해소, 주식매수선택권 행사로 인한 주식수량 변동 외", 
01276026,지놈앤컴퍼니,2023.02.07,17:36,박한수,6,2325793,14.46,-4237,-0.04,"특별관계 해소, 장내매수",임원퇴임 및 추가취득에 따른 주식수 변동,담보계약 변경
00273110,에스티큐브,2023.02.07,17:30,바이오메디칼홀딩스,4,2728659,6.13,-319783,-1.03,"주식매수선택권 행사, 장내매매","주식매수선택권 행사, 장내매매에 따른 보유지분 및 지분율 변동",
00271501,코아시아,2023.02.07,17:24,이희준,7,6153032,23.38,-102228,-0.39,임원퇴임,특별관계 해소,주식 담보계약 연장
01179617,한국비엔씨,2023.02.07,17:15,최완규,7,13608918,20.13,0,0,,,주식담보 대출 연장의 건
00347716,중앙첨단소재,2023.02.07,16:58,에이치에프네트웍스,0,6333333,13.57,0,0,,,담보제공
00115287,동방,2023.02.07,16:50,김형곤,3,11033507,23.00,0,0,특별관계자 증여/수증,"김용대: 지분 증여
(재)인산장학문화재단: 수증",
00103592,광동제약,2023.02.07,16:45,최성원,15,9325205,17.79,0,0,,,보유주식 등에 관한 계약 연장
00660750,하나머티리얼즈,2023.02.07,16:42,하나마이크론,11,9211208,45.96,-1300,0.00,. 증여,. 특별관계자의 소유주식 수 감소,. 주식 담보대출 계약의 변경
00113535,대한해운,2023.02.07,16:39,에스엠하이플러스,3,157528554,49.35,0,0,,,"특별관계자 (주)케이엘홀딩스의 계약변경(담보차입상환)
특별관계자 (주)케이엘홀딩스의 계약변경(주식담보제공)"
01335851,박셀바이오,2023.02.07,16:37,이제중,29,4519307,29.69,-142852,-0.94,"장내매도/매수, 증여/수증","단순 처분/취득, 신규특별관계자 편입",공동보유계약 만기 해지.
00340096,미래에셋벤처투자,2023.02.07,16:26,미래에셋증권,18,37137226,67.46,7171627,3.14,"유상신주취득, 주식배당, 장내매수, 증여, 특별관계 추가/해소 등","제3자배정 유상증자 참여, 주식배당, 지분 추가 취득,  가족증여, 신규보고 및 임원퇴임 등",
00203315,콘텐트리중앙,2023.02.07,16:10,중앙홀딩스,3,8136133,42.24,0,0,,,"보유주식 등에 관한 계약의 변경
(주식담보대출 계약 기간 연장 및 이자율 변경)"
01326279,아이엘사이언스,2023.02.07,15:57,송성근,18,7332252,31.13,0,0,,,최대주주 주식담보대출 연장
00121039,명문제약,2023.02.07,15:54,우석민,3,7146011,21.05,0,0,,,"주식담보대출 계약 내용의 변경(계약연장 및 담보주식수, 이자율 변동)"
00556712,힘스,2023.02.07,15:53,김주환,15,3564582,31.4,13284,0.0,,,"특수관계인 변경
특수관계인의 담보대출 내용 변경
특수관계인의 소유 주식 수 변경 "
00215976,MIT,2023.02.07,15:50,나반홀딩스,2,14000000,61.58,14000000,61.58, 유상신주 취득에 따른 신규보고," 유상신주 취득에 따른 신규보고
유상신주 취득에 따른 최대주주 지위로 연명보고자에서 대표보고자로 신규보고", 
00215976,MIT,2023.02.07,15:48,천지인산업개발,2,0,0,-4000000,-31.42,,, 연명보고자가 최대주주로 변경됨에 따라 대표보고자 변경
00255275,HB테크놀러지,2023.02.07,15:41,에이치비콥,8,30703709,36.17,1764302,1.35,,,주식담보대출 계약의 해지
00828761,레이,2023.02.07,15:22,레이홀딩스,7,4518292,32.24,0,0,,,특별관계인 주식담보대출 연장
00318662,CNT85,2023.02.07,14:44,신안캐피탈,1,20100000,56.23,-1400165,-2.11," 전환사채 매도청구권 소멸, 특별관계자 해소, 특별관계자 신규 편입, CB 인수로 인한 주식등의 수 변동"," 전환사채 매도청구권 소멸(제24회)
 특별관계자 해소
 특별관계자 신규 편입(임원), CB 인수로 인한 주식등의 수 변동"," 전환사채 매도청구권 소멸(제24회)
 특별관계자 해소
 특별관계자 신규 편입(임원), CB 인수로 인한 주식등의 수 변동"
00141413,영화금속,2023.02.07,14:10,삼신정밀,6,13444133,25.18,0,0,,,담보계약 일부상환
00877819,데이타솔루션,2023.02.07,13:27,오픈베이스,2,10770580,66.27,-50000,-1.04,"정교중 장내매도(10만주), 주식매수선택권 부여(배복태)에 따른 보유주식 증가(5만주), 주식매수선택권 행사(정교중)에 따른 보유주식 감소(5만주)",정교중 장내매도(10만주),"주식매수선택권 부여(배복태)에 따른 보유주식수 증가
주식매수선택권 행사(정교중)에 따른 소유주식수 증가 및 보유주식수 감소 (5만주)"
00216647,원익홀딩스,2023.02.07,13:08,원익,7,37720029,48.84,0,0,,,"1) 한국증권금융 주식담보대출(연번1) 기한 연장(1년) 및 약정금액 감소(70억 > 67억)
2) 기업은행 주식담보대출(연번4) 기한 연장(1년)"
01329957,국전약품,2023.02.07,09:17,홍종호,8,30418739,61.99,0,0,,,신규 주식담보대출 발생 및 기존 주식담보대출 상환
00125965,KH 미래물산,2023.02.07,17:11,유니온 신기술조합 제217호,0,5139902,3.21,-3812430,-2.39,장내 주식매매,장내 주식매매,
00617314,타이거일렉,2023.02.07,15:13,MORGANSTANLEY&COINTLPLC,0,189328,3.00,-212153,-3.36,"장내매수, 장내매도",단순투자,
00550994,아이센스,2023.02.07,14:51,"TempletonInvestmentCounsel,LLC",3,710472,5.17,710472,5.17,,,
00659684,장원테크,2023.02.07,14:34,한국채권투자운용,1,1578039,6.72,280611,1.13,전환가액 조정 및 일임계약 해지,전환가액 조정에 따른 보유비율 증가,
01568875,하나금융19호기업인수목적,2023.02.07,14:32,링크자산운용,0,139000,2.20,-315763,-5.01,장내 매도,단순 처분,
01259311,푸드나무,2023.02.07,12:00,TEMPEREDINVESTMENTMANAGEMENTLTD.,9,1007074,7.51,509437,0.20,"무상신주취득, 장내매수",단순취득,
00103130,플레이그램,2023.02.07,11:30,옥토(Oct)1호조합,7,0,0,-8088978,-8.27,조기상환,보유 CB 전부 조기상환,
00946030,로보티즈,2023.02.08,17:59,김병수,1,4037659,33.84,-254080,-1.38,장외 매도,단순 처분, 해당사항 없음
00670766,엠투아이,2023.02.08,17:53,코메스인베스트먼트,3,9966668,59.33,4983334,0,,무상증자," 주식 및 경영권양수도계약 체결
 최초 계약 체결일: 2022년 10월 31일
  매도인: 코메스20181M&A투자조합, 매수인: 노틱인베스트먼트(주) 및 케이브릿지인베스트먼트(유)
 변경 계약 체결일: 2023년 01월 30일
  매도인: 코메스20181M&A투자조합, 매수인: 노틱인베스트먼트(주) 및 피티에이에쿼티파트너스(주)"
00670766,엠투아이,2023.02.08,17:47,피티에이에쿼티파트너스,2,9666668,57.55,9666668,57.55,주식매매계약(체결일: 2022년 10월 31일) 및 합의서(체결일: 2023년 1월 30일) 체결,"특별관계자인 노틱인베스트먼트 주식회사는 케이브릿지인베스트먼트 유한회사와 공동으로 발행회사의 최대주주인 코메스20181 M&A투자조합과 2022년 10월 31일자로 주식매매계약을 체결하였으며, 코메스 20181 M&A 투자조합, 케이브릿지인베스트먼트 유한회사 및 보고자인 피티에이에쿼티파트너스 주식회사 사이에 2023년 1월 30일자로 합의서를 체결하여 케이브릿지인베스트먼트 유한회사의 주식매매계약 상 매수인 지위가 피티에이에쿼티파트너스 주식회사로 승계되는 것에 대하여 합의함. 이에 따라 보고자 및 특별관계자는 공동 업무집행사원으로서 기관전용 사모집합투자기구를 결성하고 해당 사모집합투자기구가 설립한 투자목적회사를 통해서 거래종결일에 코메스20181 M&A투자조합이 소유하고 있는 발행회사 주식 9,666,668주를 매수하기로 함.",
00670766,엠투아이,2023.02.08,17:42,노틱인베스트먼트,2,9666668,57.55,9666668,57.55,주식매매계약(체결일: 2022년 10월 31일) 및 합의서(체결일: 2023년 1월 30일) 체결,"보고자인 노틱인베스트먼트 주식회사는 발행회사의 최대주주인 코메스20181 M&A투자조합 및 케이브릿지인베스트먼트 유한회사와 2022년 10월 31일자로 주식매매계약을 체결하였으며, 코메스 20181 M&A 투자조합, 케이브릿지인베스트먼트 유한회사 및 특별관계자인 피티에이에쿼티파트너스 주식회사 사이에 2023년 1월 30일자로 합의서를 체결하여 케이브릿지인베스트먼트 유한회사의 주식매매계약 상 매수인 지위가 피티에이에쿼티파트너스 주식회사로 승계되는 것에 대하여 합의함. 이에 따라 보고자 및 특별관계자는 공동 업무집행사원으로서 기관전용 사모집합투자기구를 결성하고 해당 사모집합투자기구가 설립한 투자목적회사를 통해서 거래종결일에 코메스20181 M&A투자조합이 소유하고 있는 발행회사 주식 9,666,668주를 매수하기로 함.",
00117744,메리츠화재해상보험,2023.02.08,17:39,메리츠금융지주,0,104535112,100.00,36595268,38.85,메리츠금융지주와 메리츠화재의 포괄적주식교환 완료,메리츠금융지주와 메리츠화재의 포괄적주식교환 완료,
00694942,이미지스,2023.02.08,17:35,김정철,0,4349856,28.38,2174928,0.02,무상증자,무상증자로 주식 증가,주식담보대출 계약
00860332,메리츠금융지주,2023.02.08,17:30,조정호,6,97186092,55.78,353832,-18.11,메리츠화재와의 포괄적 주식교환 완료,메리츠화재와의 포괄적 주식교환 완료,
00155586,HLB이노베이션,2023.02.08,17:10,HLB,0,3500000,8.63,3500000,8.63,장외 매수,신규 보고,
00152385,에이프로젠,2023.02.08,17:01,지베이스,11,141305753,52.28,0,0,,,주식담보대출 계약
00143314,에이엔피,2023.02.08,16:50,와이에스피,5,23921704,58.95,-2516796,-2.39,전환사채 콜옵션 소멸,전환사채 콜옵션 미행사에 따른 권리 소멸,
00117708,리드코프,2023.02.08,16:45,디케이마린,3,10667623,40.34,0,0,,,"주식담보계약  만기연장, 주식담보계약 차입금 일부상환"
00352064,프리엠스,2023.02.08,16:42,박흥식,0,837750,13.96,0,0,특별관계자 신규추가,없음,증여(배우자)에 따른 특별관계자 추가
00346911,아이톡시,2023.02.08,16:33,플러그박스,1,1728571,7.85,-271429,-2.23,장외매도,단순 처분,
00601988,코난테크놀로지,2023.02.08,16:32,김영섬,12,2229360,39.25,4500,0.08,미등기임원 신규선임에따른 보고,미등기임원 신규선임에따른 보고,미등기임원 신규선임에따른 보고
00219361,해성산업,2023.02.08,16:21,단재완,8,17481683,53.70,677184,-11.96,"분할합병 신주배정취득, 장내매도()","해성산업과 계양전기 분할합병에 따른 분할합병 신주 배정 취득
특별관계자 단혜영 장내매도",
01032413,해성디에스,2023.02.08,16:11,해성산업,2,6152016,36.19,-20000,-0.11,"보고자와 특별관계자 간 분할합병, 계열회사 임원퇴임","해성산업(주)와 계양전기(주) 투자사업부문 분할합병에 따른 주식변동
특별관계자 조성래 계열회사 임원퇴임",
01336461,뉴로메카,2023.02.08,16:01,박종훈,3,2456400,23.30,0,-0.17,주식매수선택권 행사,주식매수선택권 행사에 따른 보고의무 발생,
00671376,티웨이항공,2023.02.08,15:56,더블유밸류업,2,52610924,25.79,11790999,4.55,우선주 전환,우선주 전환으로 인한 보유주식등의 수 및 보유비율 변동,
00469799,이엔플러스,2023.02.08,15:56,에이팀하모니제1호사모투자,0,2518000,4.32,-622000,-1.58, 장내매도, 단순 처분 , 단순 처분
00102618,계양전기,2023.02.08,15:51,해성산업,7,12322553,45.27,-2544563,-0.33,"분할합병 주식병합, 장내매도()","해성산업(주)의 계양전기(주) 투자사업부문 분할합병에 따른 주식병합
특별관계자 단혜향, 단혜영 장내매도",
00149354,종근당홀딩스,2023.02.08,15:48,이장한,6,2368622,47.28 ,3297,0.07, 장내매수, 단순취득, 해당사항 없음
00531078,유비온,2023.02.08,14:13,임재환,16,6875068,34.88,79182,0.41,"특별관계자 추가, 장내매수","특별관계자 추가, 장내매수",
01353024,TS트릴리온,2023.02.08,14:04,장기영,9,66485333,70.39,0,0,,,최대주주 주식담보대출 연장(하이투자증권 10억)
00142883,우신시스템,2023.02.08,13:49,허우영,6,6779332,37.02,0,0,,,최대주주 주식담보대출 연장
00601988,코난테크놀로지,2023.02.08,13:24,김영섬,12,2228860,39.24,4000,0.07,미등기임원 신규선임에따른 보고,미등기임원 신규선임에따른 보고,미등기임원 신규선임에따른 보고
00129615,상보,2023.02.08,11:12,김상근,3,10142444,17.14,0,0,,,주식담보대출계약 갱신
00550994,아이센스,2023.02.08,10:55,템플턴자산운용회사,4,609156,4.43,-148432,-1.08,장내매도,단순처분,
00651017,나우IB,2023.02.08,09:28,정지완,12,6692077,69.29,-296000,-3.06,시간외대량매매,단순 처분,
01472930,오브젠,2023.02.08,07:30,전배문,22,2056307,51.83,2056307,51.83,신규상장에 따른 최초보고,신규상장에 따른 최초보고,
00359395,헬릭스미스,2023.02.08,07:30,김선영,10,2696659,6.6321,-42536,-0.1046,특별관계자 해소,최대주주 변경으로 인한 연명보고 제외,
01139965,스튜디오미르,2023.02.08,17:01,LB인베스트먼트,1,263000,5.11,263000,5.11,신규상장에 따른 보유지분 변동,신규상장에 따른 보유지분 변동,
00896753,스킨앤스킨,2023.02.08,16:07,삼호그린인베스트먼트,1,14137931,3.99,-10344827,-2.92,최대주주 지정자의 주식 매도청구권 행사에 따른 장외매도,장외매도 따른 1% 이상 지분변동,
00163691,유수홀딩스,2023.02.08,15:03,MiriCapitalManagementLLC,1,2170153,8.33,287974,1.10, 장내에서 발행회사 주식 매수," 단순투자목적으로 주식 취득
 본 보고는 보고자가 투자자문사로서 발행회사의 주식에 대한 취득 및 처분 권한을 가지고 있으므로 보고자가 동 주식의 보유자의 지위에서 이행하는 것임", 
00980122,JB금융지주,2023.02.08,13:48,오케이저축은행,2,20119351,10.21,-2094413,-1.07,장내 매도,단순 추가처분,
01336443,디와이씨,2023.02.08,13:23,빅솔론,0,0,0.00,-1325030,-6.59,장내매도,장내매도,
00671376,티웨이항공,2023.02.08,10:00,(주)티웨이항공 우리사주조합,0,16361450,8.52,-2032159,-1.06,우리사주조합,조합원 주식인출에 따른 변동,조합원 주식인출에 따른 변동
01068658,선샤인푸드,2023.02.09,17:49,정담유통,10,18856093,37.58,0,-2.93,보고자 정담유통(주)의 일부주식 장외매도,보고자 정담유통(주)의 일부주식 장외매도,"주식담보계약의 추가체결, 해지,  연장"
01042979,휴마시스,2023.02.09,17:36,차정학,3,0,0.00,-2593814,-7.65,장외 매도,매도,최대주주 및 특수관계인의 주식양수도 계약 완료
00426068,엑시온그룹,2023.02.09,17:22,아이에스이네트워크,10,7893604,30.57,0,0,,,"1. 주식 및 경영권 양수도 계약(오션뉴웨이브신기술조합1호 외 3인) 변경 계약서 체결
당사의 최대주주인 (주)아이에스이네트워크와 특수관계인(8인)(양도인)과 오션뉴웨이브신기술조합1호 외 3인(양수인)은 '주식 및 경영권 양수도 계약'의 변경 계약서를 2023년 02월 03일, 02월 08일에 체결하였습니다.

2. 주식매매계약(양수인 : 샤이닝피플 1호조합) 변경계약서 체결
당사의 최대주주인 (주)아이에스이네트워크(양도인)와 샤이닝피플 1호조합(양수인)은 2023년 01월 16일에 (주)아이에스이커머스 주식(보통주)을 대상으로 체결한 매매계약서의 변경계약서를 2023년 2월 2일 체결하였습니다.

3. 주식매매계약(양수인 : (주)시그니티) 해제
당사의 최대주주의 특수관계인 한영과학(주)(양도인)와 (주)시그니티(양수인)는 2023년 01월 16일에 (주)아이에스이커머스 주식(보통주)을 대상으로 체결한 매매계약서를 해제하였습니다.

4. 주식매매계약(양수인 : 퍼스트 1호 조합) 변경계약서 체결
당사의 최대주주의 특수관계인 한영과학(주)(양도인)와 퍼스트 1호 조합(양수인)는 2023년 01월 18일에 (주)아이에스이커머스 주식(보통주)을 대상으로 체결한 매매계약서의 변경계약서를 2023년 2월 2일 체결하였습니다."
00138242,KG모빌리티,2023.02.09,17:17,MahindraandMahindraLimited,2,12536341,6.71,0,-0.8,"특별관계자 제외에 따른 변동보고, 발행주식의 총수 변경","합병으로 인한 특별관계자 변동
발행주식의 총수 변경에 따른 보유 비율 변동",
01042979,휴마시스,2023.02.09,17:07,아티스트,4,4327414,12.76,399058,1.18,장외 매수,특별관계자의 소유주식 변동에 따른 변동보고,주식양수도 계약 변경 및 거래종결에 따른 보고
00141404,영풍제지,2023.02.09,16:55,대양금속,0,10355192,46.45,0,0.00,,,주식담보대출 신규 계약 및 일부 담보 주식수량 정정
01358463,현대무벡스,2023.02.09,16:50,현대엘리베이터,10,70954402,60.58,0,-0.10,발해,발행,보유주식등에 관한 계약 변경
01526806,삼기이브이,2023.02.09,16:39,삼기,0,7630958,53.37,7630958,53.37,코스닥시장 신규상장,주권의 코스닥시장 상장에 따른 신규보고,
00110431,JW신약,2023.02.09,16:31,JW홀딩스,0,14872345,30.71,708206,0.01,무상증자,무상증자,
01259311,푸드나무,2023.02.09,16:30,김영문,2,10114140,75.46,0,0,,,"보고자 주식담보계약 일부 상환 및 신규 체결과
특별관계자 주식담보계약 만기 연장"
00146214,일성아이에스,2023.02.09,16:13,윤석근,8,1012367,38.06,156198,5.87,"장내매수, 장내매도, 장외매수"," 보고자의 주식변동
 특별관계자들이 보유한 주식의 장내매수 및 장내매도로 인한 보유주식 변동
 보고자의 보유주식 주식담보대출 계약",
00536541,에코프로,2023.02.09,16:06,이동채,9,6765823,26.79,0,0,,,주식담보계약 계약내용의 변경
00976615,틸론,2023.02.09,16:04,최백준,8,2337937,42.02,77809,-12.44,"증여, 특별관계자의 장내외 매수/매도",보고자 및 특별관계자의 보유주식 변동,특별관계자의 변경
00173078,명신산업,2023.02.09,15:14,엠에스오토텍,2,23861210,45.48,0,0,,,주식담보대출 일부 상환
00161046,한독,2023.02.09,14:10,김영진,11,5971143,43.38,0,0,,,특별관계자 보유주식 주식담보대출 계약
00201733,TJ미디어,2023.02.09,12:12,윤재환,2,7636034,54.81,0,0,,, 보유주식등에 관한 담보계약의 연장
00159740,KISCO홀딩스,2023.02.09,11:27,장세홍,6,8396895,51.91,0,0,,,특별관계자의 담보계약 변경
00687711,한국철강,2023.02.09,11:22,KISCO홀딩스,6,24251906,57.13,0,0,,,특별관계자의 보유주식 담보대출계약 해지
00166175,대호특수강,2023.02.09,17:59,신한투자증권,0,374986,4.74,-4384974,-1.20,전환사채 조기상환,풋옵션행사에 따른 보유지분 감소,
01344202,뷰노,2023.02.09,17:56,김현준,1,520755,3.98,-300000,-3.26,시간외 매도,단순 처분,
00231354,파워넷,2023.02.09,16:06,에이원자산운용,0,1330376,6.38,-308979,-2.11,조기상환청구로 인한 변동,단순처분,
01419986,신영해피투모로우제6호기업인수목적,2023.02.09,15:40,신영증권,0,0,0,-1505000,-25.95,(주)화인써키트와의 합병(피흡수합병),합병에 따른 지분율 변동,보유목적 변경
01576713,엔에이치기업인수목적22호,2023.02.09,15:29,J.P.MORGANSECURITIESPLC,1,193960,3.01,-227423,-3.53,장내매매,단순취득/처분,
00426068,엑시온그룹,2023.02.09,15:23,포트리스 투자조합,0,1211839,4.69,-388161,-1.51,장내외매도,단순처분,
00604426,인터로조,2023.02.09,13:25,FILLIMITED,5,669851,5.07,-4830,-0.03,특별관계 추가,"단순투자목적
Investment Manager 변경에 의한 변동보고
본 보고는 보고자 및 특별관계자들(해당하는 경우)이 투자자문사로서 발행회사의 주식에 대한 취득 및 처분 권한을 가지고 있으므로, 보고자가 대표보고자로서 동 주식의 보유자의 지위에서 이행하는 것임.",
00860730,에이리츠,2023.02.10,17:54,한밭컨설팅,8,1777108,39.82,69180,1.56,장내 매수,단순 추가취득,
01344202,뷰노,2023.02.10,17:53,이예하,7,2329854,17.57,-560873,-4.23,공동보유 계약의 해지,공동보유 계약의 해지에 따라 변동보고,공동보유 계약의 해지
01344202,뷰노,2023.02.10,17:46,이예하,7,2890727,21.80,169002,-1.73," 전환우선주 발행으로 인한 지분율 변동
 매도청구권(콜옵션) 행사자로 지정"," 전환우선주 발행으로 인한 지분율 변동
 (주)뷰노 이사회 결의에 의하여 전환우선주 매도청구권(콜옵션) 행사자로 지정"," (주)뷰노 이사회 결의에 의하여 전환우선주 매도청구권(콜옵션) 행사자로 지정
 특별관계자의 주식매수선택권 행사"
00273110,에스티큐브,2023.02.10,17:43,바이오메디칼홀딩스,4,2728659,6.13,0,0,,,담보계약연장 및 대출금액 변경
00181712,SK,2023.02.10,17:35,최태원,38,19563689,26.38,-17385,-0.03,보유주식수 변동,장내매매,보유주식 등에 대한 계약의 변경
01307335,공구우먼,2023.02.10,17:27,김주영,4,15000000,66.32,-195000,-1.64,"장내 매도, 특별관계 해소","특별관계자의 단순 장내 매도, 임원 퇴임","주식매수선택권 행사, 특수관계인 수 변경"
00163716,한창,2023.02.10,17:27,매지움,3,12458672,14.26,0,0,,,특별관계자 보유주식 등에 관한 계약 변경
01061497,FSN,2023.02.10,17:21,제이투비,21,12295051,36.98,73146,0.22," 특별관계 추가/해소
 주식매수선택권 행사가액 조정"," 특별관계자 김세중 임원 취임((주)얼레디덱)
 공동보유자 한정구 공동보유계약 해지
 특별관계자 최복규, 이종은, 황재우, 조성준, 정건영의 주식매수선택권 행사가액 조정"," 특별관계자 이상석의 주식담보대출 만기연장
 특별관계자 최복규의 주식담보대출 일부 상환"
00925374,윤성에프앤씨,2023.02.10,17:16,프리미어루미너스사모투자,1,690595,8.66,-113244,-1.41,장내매각,장내매각,
00365387,AJ네트웍스,2023.02.10,16:58,문덕영,7,28749399,61.40,-1800000,-3.85, 시간외 대량매매, 단순처분, 보고자 보유주식 등에 관한 주요계약 변경
00415628,세진중공업,2023.02.10,16:56,윤지원,4,33828127,59.50,0,0.00,,,특별관계자의 주식담보계약 변경
01082348,오스테오닉,2023.02.10,16:44,이동원,11,4955747,28.46,0,0, , , 주식담보대출기간 연장
00148364,하림지주,2023.02.10,16:33,김홍국,21,54001120,48.21,0,0,,," 특별관계자((주)올품) 주식담보설정 계약 변경
 산업은행 차입금 310억원 기한연장
 (차입기간 2023.02.03~2024.02.03)"
00445841,MDS테크,2023.02.10,16:19,플레이그램,2,19298724,23.14,13224043,-6.00,무상 신주 취득 및 교환사채 교환 청구,무상 신주 취득 및 교환사채 교환 청구,발행회사 무상증자에 따른 담보 주식 수량 증가
01414422,아이비김영,2023.02.10,16:17,메가스터디교육,11,29164426,64.89,0,0,,,보고자의 보유주식에 대한 주식담보대출 계약 만기연장
00154426,아이에이치큐,2023.02.10,16:01,케이에이치미디어,3,71789140,29.65,0,0,,,주식담보대출 일부 상환
00108135,녹십자홀딩스,2023.02.10,15:57,허일섭,27,21456442,45.63,3890,0.01,특별관계자 추가,장내매수,담보대출 계약 변경
01139965,스튜디오미르,2023.02.10,15:57,유재명,0,3434556,66.68,3434556,66.68, 코스닥 신규 상장, 코스닥 신규 상장, 
01573284,코닉오토메이션,2023.02.10,15:49,APS,4,31626102,78.6,-20000,-0.1,장내매도,특별관계자의 장내매도,
00210740,대화제약,2023.02.10,15:40,김수지,9,5463340,29.35,66900,0.36,"장내 매수, 매도","김수지, 김운장, 김은석, 이명희, 이주희 보유주식 수 변동",김운장의 기업은행 주식담보대출 만기 연장
00210740,대화제약,2023.02.10,14:33,김운장,9,981157,5.27,-12200,-0.07,장내 매도,"보고자의 주식변동, 특별관계자 주식변동(정제원, 특별관계자 제외)",보고자의 기업은행 주식담보대출 만기 연장
01267602,제이시스메디칼,2023.02.10,13:15,강동환,9,24192846,31.79,0,-1.05,주식매수선택권행사(신주발행),주식매수선택권 행사로 인한 발행주식수 변동,주식매수선택권 행사로 인한 주식보유형태 변경
01526806,삼기이브이,2023.02.10,09:27,파라투스혁신성장엠앤에이사모투자,1,861539,6.03,861539,6.03,,,
01016479,오로스테크놀로지,2023.02.10,09:16,에프에스티,6,5123407,54.80,-57325,-1.16,자기주식 차액보상,주식매수선택권 행사 ,
00442455,코스나인,2023.02.10,17:31,디에이치엑스컴퍼니,0,3453935,5.56,-1857142,-4.00,장외매도,주식양수도계약체결에 의한 변동,
01535257,엔에이치기업인수목적19호,2023.02.10,17:18,LS증권,0,2271289,4.43,-622753,-1.21,장내매매,단순투자목적,
00531078,유비온,2023.02.10,17:11,미래에셋증권,0,138000,0.70,-21792,-4.63,"액면분할, 장내매매, 신주 취득","액면분할, 장내매매, 신주 취득",
00317210,성호전자,2023.02.10,17:09,레이크우드-에이비즈 투자조합 1호,0,3900156,6.37,3900156,6.37,,,
00536329,노블엠앤비,2023.02.10,17:02,엠에스웨이,0,3028411,8.29,-501000,-4.02,장내매도,운전자금 확보를 위한 단순 처분,경영권에 영향을 미치기 위함이 아닌 단순 일반투자목적(취득사유가 자산 매각/양도 대금으로 받은 양도대금임)
01587056,엔젯,2023.02.10,16:58,"AppliedVenturesInnovationFundI,L.P.",1,734580,6.98,734580,6.98,신규보고,코스닥시장 상장,
00642897,브레인즈컴퍼니,2023.02.10,16:57,박정환,0,409477,4.99,109477,-2.31,장내 매도,단순 처분,
